"shear_lam","shear_tot","shear_turb","y_plus","Points:0","Points:1","Points:2"
3.0925e-05,0.00093447,0.00090355,308.44,900,8.7434,0
3.08e-05,0.00092965,0.00089885,309.37,900,8.7699,0
3.0676e-05,0.00092483,0.00089415,310.3,900,8.7964,0
3.0551e-05,0.00092,0.00088945,311.24,900,8.8229,0
3.0427e-05,0.00091518,0.00088475,312.17,900,8.8494,0
3.0302e-05,0.00091036,0.00088006,313.11,900,8.8758,0
3.0192e-05,0.00090561,0.00087541,314.04,900,8.9023,0
3.009e-05,0.00090089,0.0008708,314.98,900,8.9288,0
2.9988e-05,0.00089617,0.00086618,315.91,900,8.9553,0
2.9885e-05,0.00089145,0.00086156,316.84,900,8.9818,0
2.9783e-05,0.00088673,0.00085695,317.78,900,9.0083,0
2.968e-05,0.00088201,0.00085233,318.71,900,9.0347,0
2.9578e-05,0.00087729,0.00084772,319.65,900,9.0612,0
2.9494e-05,0.00087264,0.00084315,320.58,900,9.0877,0
2.9409e-05,0.00086799,0.00083858,321.52,900,9.1142,0
2.9325e-05,0.00086333,0.00083401,322.45,900,9.1407,0
2.9241e-05,0.00085868,0.00082944,323.38,900,9.1672,0
2.9157e-05,0.00085403,0.00082487,324.32,900,9.1937,0
2.9073e-05,0.00084938,0.0008203,325.25,900,9.2201,0
2.8992e-05,0.0008447,0.00081571,326.19,900,9.2466,0
2.8926e-05,0.00083997,0.00081104,327.12,900,9.2731,0
2.8859e-05,0.00083524,0.00080638,328.06,900,9.2996,0
2.8793e-05,0.0008305,0.00080171,328.99,900,9.3261,0
2.8726e-05,0.00082577,0.00079704,329.92,900,9.3526,0
2.866e-05,0.00082103,0.00079237,330.86,900,9.379,0
2.8593e-05,0.0008163,0.0007877,331.79,900,9.4055,0
2.8525e-05,0.00081155,0.00078302,332.73,900,9.432,0
2.8456e-05,0.00080677,0.00077831,333.66,900,9.4585,0
2.8387e-05,0.00080199,0.0007736,334.6,900,9.485,0
2.8317e-05,0.00079721,0.00076889,335.53,900,9.5115,0
2.8248e-05,0.00079243,0.00076418,336.46,900,9.538,0
2.8178e-05,0.00078765,0.00075947,337.4,900,9.5644,0
2.8109e-05,0.00078287,0.00075476,338.33,900,9.5909,0
2.8036e-05,0.00077809,0.00075006,339.27,900,9.6174,0
2.7956e-05,0.00077332,0.00074537,340.2,900,9.6439,0
2.7877e-05,0.00076856,0.00074068,341.14,900,9.6704,0
2.7797e-05,0.00076379,0.00073599,342.07,900,9.6969,0
2.7718e-05,0.00075903,0.00073131,343,900,9.7233,0
2.7638e-05,0.00075426,0.00072662,343.94,900,9.7498,0
2.7559e-05,0.00074949,0.00072193,344.87,900,9.7763,0
2.7479e-05,0.00074472,0.00071724,345.81,900,9.8028,0
2.7395e-05,0.00073994,0.00071254,346.74,900,9.8293,0
2.7312e-05,0.00073515,0.00070784,347.68,900,9.8558,0
2.7229e-05,0.00073037,0.00070314,348.61,900,9.8822,0
2.7145e-05,0.00072558,0.00069844,349.54,900,9.9087,0
2.7062e-05,0.0007208,0.00069373,350.48,900,9.9352,0
2.6979e-05,0.00071601,0.00068903,351.41,900,9.9617,0
2.6895e-05,0.00071123,0.00068433,352.35,900,9.9882,0
2.6809e-05,0.00070648,0.00067967,353.28,900,10.015,0
2.6723e-05,0.00070174,0.00067502,354.22,900,10.041,0
2.6637e-05,0.000697,0.00067036,355.15,900,10.068,0
2.655e-05,0.00069225,0.0006657,356.08,900,10.094,0
2.6464e-05,0.00068751,0.00066105,357.02,900,10.121,0
2.6378e-05,0.00068277,0.00065639,357.95,900,10.147,0
2.6292e-05,0.00067802,0.00065173,358.89,900,10.174,0
2.6199e-05,0.00067331,0.00064711,359.82,900,10.2,0
2.6104e-05,0.00066862,0.00064251,360.76,900,10.227,0
2.6009e-05,0.00066392,0.00063791,361.69,900,10.253,0
2.5914e-05,0.00065922,0.00063331,362.62,900,10.28,0
2.5818e-05,0.00065453,0.00062871,363.56,900,10.306,0
2.5723e-05,0.00064983,0.00062411,364.49,900,10.332,0
2.5628e-05,0.00064514,0.00061951,365.43,900,10.359,0
2.553e-05,0.00064045,0.00061492,366.36,900,10.385,0
2.5424e-05,0.00063581,0.00061039,367.3,900,10.412,0
2.5317e-05,0.00063117,0.00060586,368.23,900,10.438,0
2.521e-05,0.00062654,0.00060133,369.16,900,10.465,0
2.5103e-05,0.0006219,0.00059679,370.1,900,10.491,0
2.4997e-05,0.00061726,0.00059226,371.03,900,10.518,0
2.489e-05,0.00061262,0.00058773,371.97,900,10.544,0
2.4783e-05,0.00060798,0.0005832,372.9,900,10.571,0
2.4673e-05,0.00060336,0.00057869,373.84,900,10.597,0
2.4561e-05,0.00059876,0.0005742,374.77,900,10.624,0
2.4449e-05,0.00059415,0.0005697,375.7,900,10.65,0
2.4338e-05,0.00058955,0.00056521,376.64,900,10.677,0
2.4226e-05,0.00058494,0.00056071,377.57,900,10.703,0
2.4114e-05,0.00058033,0.00055622,378.51,900,10.73,0
2.4002e-05,0.00057573,0.00055172,379.44,900,10.756,0
2.389e-05,0.00057112,0.00054723,380.38,900,10.783,0
2.3774e-05,0.00056661,0.00054283,381.31,900,10.809,0
2.3658e-05,0.0005621,0.00053844,382.24,900,10.836,0
2.3542e-05,0.0005576,0.00053405,383.18,900,10.862,0
