"Dissipation","Production","Points:0","Points:1","Points:2"
-4.5164e-05,1.189e-05,900,10.597,0
-4.498e-05,1.1748e-05,900,10.624,0
-4.4796e-05,1.1606e-05,900,10.65,0
-4.4612e-05,1.1464e-05,900,10.677,0
-4.4429e-05,1.1321e-05,900,10.703,0
-4.4245e-05,1.1179e-05,900,10.73,0
-4.4061e-05,1.1037e-05,900,10.756,0
-4.3877e-05,1.0895e-05,900,10.783,0
-4.3686e-05,1.0758e-05,900,10.809,0
-4.3494e-05,1.0621e-05,900,10.836,0
-4.3302e-05,1.0485e-05,900,10.862,0
-4.3109e-05,1.0349e-05,900,10.889,0
-4.2917e-05,1.0212e-05,900,10.915,0
-4.2725e-05,1.0076e-05,900,10.942,0
-4.2533e-05,9.9393e-06,900,10.968,0
-4.2339e-05,9.8035e-06,900,10.995,0
-4.213e-05,9.6734e-06,900,11.021,0
-4.1921e-05,9.5433e-06,900,11.048,0
-4.1712e-05,9.4133e-06,900,11.074,0
-4.1503e-05,9.2832e-06,900,11.101,0
-4.1294e-05,9.1531e-06,900,11.127,0
-4.1085e-05,9.0231e-06,900,11.153,0
-4.0876e-05,8.893e-06,900,11.18,0
-4.0665e-05,8.764e-06,900,11.206,0
-4.0448e-05,8.6414e-06,900,11.233,0
-4.0231e-05,8.5188e-06,900,11.259,0
-4.0013e-05,8.3962e-06,900,11.286,0
-3.9796e-05,8.2736e-06,900,11.312,0
-3.9578e-05,8.151e-06,900,11.339,0
-3.9361e-05,8.0284e-06,900,11.365,0
-3.9144e-05,7.9058e-06,900,11.392,0
-3.8927e-05,7.7839e-06,900,11.418,0
-3.8714e-05,7.6712e-06,900,11.445,0
-3.8501e-05,7.5585e-06,900,11.471,0
-3.8288e-05,7.4458e-06,900,11.498,0
-3.8075e-05,7.3331e-06,900,11.524,0
-3.7862e-05,7.2204e-06,900,11.551,0
-3.7649e-05,7.1077e-06,900,11.577,0
-3.7436e-05,6.995e-06,900,11.604,0
-3.7223e-05,6.8822e-06,900,11.63,0
-3.7007e-05,6.7766e-06,900,11.657,0
-3.6791e-05,6.6719e-06,900,11.683,0
-3.6575e-05,6.5672e-06,900,11.71,0
-3.6358e-05,6.4625e-06,900,11.736,0
-3.6142e-05,6.3578e-06,900,11.763,0
-3.5926e-05,6.2531e-06,900,11.789,0
-3.5709e-05,6.1484e-06,900,11.816,0
-3.5493e-05,6.0437e-06,900,11.842,0
-3.5268e-05,5.9428e-06,900,11.869,0
-3.5038e-05,5.8448e-06,900,11.895,0
-3.4807e-05,5.7468e-06,900,11.922,0
-3.4576e-05,5.6488e-06,900,11.948,0
-3.4345e-05,5.5508e-06,900,11.975,0
-3.4115e-05,5.4528e-06,900,12.001,0
-3.3884e-05,5.3548e-06,900,12.027,0
-3.3653e-05,5.2568e-06,900,12.054,0
-3.3421e-05,5.1601e-06,900,12.08,0
-3.3184e-05,5.0716e-06,900,12.107,0
-3.2947e-05,4.9832e-06,900,12.133,0
-3.271e-05,4.8948e-06,900,12.16,0
-3.2473e-05,4.8063e-06,900,12.186,0
-3.2236e-05,4.7179e-06,900,12.213,0
-3.1998e-05,4.6295e-06,900,12.239,0
-3.1761e-05,4.541e-06,900,12.266,0
-3.1524e-05,4.4526e-06,900,12.292,0
-3.1285e-05,4.3694e-06,900,12.319,0
-3.1044e-05,4.2903e-06,900,12.345,0
-3.0803e-05,4.2113e-06,900,12.372,0
-3.0562e-05,4.1322e-06,900,12.398,0
-3.0321e-05,4.0531e-06,900,12.425,0
