"u_plus","y_plus","Points:0","Points:1","Points:2"
22.892,555.08,900,15.735,0
22.894,556.02,900,15.762,0
22.895,556.95,900,15.788,0
22.897,557.89,900,15.815,0
22.898,558.82,900,15.841,0
22.899,559.76,900,15.868,0
22.9,560.69,900,15.894,0
22.901,561.62,900,15.921,0
22.903,562.56,900,15.947,0
22.904,563.49,900,15.974,0
22.905,564.43,900,16,0
22.906,565.36,900,16.027,0
22.907,566.3,900,16.053,0
22.908,567.23,900,16.08,0
22.909,568.16,900,16.106,0
22.91,569.1,900,16.133,0
22.911,570.03,900,16.159,0
22.912,570.97,900,16.186,0
22.913,571.9,900,16.212,0
22.914,572.84,900,16.238,0
22.914,573.77,900,16.265,0
22.915,574.7,900,16.291,0
22.916,575.64,900,16.318,0
22.917,576.57,900,16.344,0
22.918,577.51,900,16.371,0
22.919,578.44,900,16.397,0
22.919,579.38,900,16.424,0
22.92,580.31,900,16.45,0
22.921,581.24,900,16.477,0
22.921,582.18,900,16.503,0
22.922,583.11,900,16.53,0
22.923,584.05,900,16.556,0
22.923,584.98,900,16.583,0
22.924,585.92,900,16.609,0
22.924,586.85,900,16.636,0
22.925,587.78,900,16.662,0
22.926,588.72,900,16.689,0
22.926,589.65,900,16.715,0
22.927,590.59,900,16.742,0
22.927,591.52,900,16.768,0
22.928,592.46,900,16.795,0
22.928,593.39,900,16.821,0
22.929,594.32,900,16.848,0
22.929,595.26,900,16.874,0
22.929,596.19,900,16.901,0
22.93,597.13,900,16.927,0
22.93,598.06,900,16.954,0
22.931,598.99,900,16.98,0
22.931,599.93,900,17.007,0
22.932,600.86,900,17.033,0
22.932,601.8,900,17.06,0
22.932,602.73,900,17.086,0
22.933,603.67,900,17.112,0
22.933,604.6,900,17.139,0
22.933,605.53,900,17.165,0
22.934,606.47,900,17.192,0
22.934,607.4,900,17.218,0
22.934,608.34,900,17.245,0
22.935,609.27,900,17.271,0
22.935,610.21,900,17.298,0
22.935,611.14,900,17.324,0
22.935,612.07,900,17.351,0
22.935,613.01,900,17.377,0
22.936,613.94,900,17.404,0
22.936,614.88,900,17.43,0
22.936,615.81,900,17.457,0
22.936,616.75,900,17.483,0
22.936,617.68,900,17.51,0
22.937,618.61,900,17.536,0
22.937,619.55,900,17.563,0
22.937,620.48,900,17.589,0
22.937,621.42,900,17.616,0
22.937,622.35,900,17.642,0
22.937,623.29,900,17.669,0
22.937,624.22,900,17.695,0
22.938,625.15,900,17.722,0
22.938,626.09,900,17.748,0
22.938,627.02,900,17.775,0
22.938,627.96,900,17.801,0
22.938,628.89,900,17.828,0
22.938,629.83,900,17.854,0
22.938,630.76,900,17.881,0
22.938,631.69,900,17.907,0
22.938,632.63,900,17.933,0
22.938,633.56,900,17.96,0
22.938,634.5,900,17.986,0
22.938,635.43,900,18.013,0
