"tau_wall","y_plus","Points:0","Points:1","Points:2"
10.299,0.12625,537.3,0.0035789,0
10.291,0.12625,538.17,0.0035789,0
10.282,0.12625,539.04,0.0035789,0
10.274,0.12625,539.91,0.0035789,0
10.267,0.12625,540.78,0.0035789,0
10.259,0.12625,541.65,0.0035789,0
10.252,0.12625,542.52,0.0035789,0
10.246,0.12625,543.39,0.0035789,0
10.239,0.12625,544.26,0.0035789,0
10.232,0.12625,545.13,0.0035789,0
10.226,0.12625,546,0.0035789,0
10.221,0.12625,546.87,0.0035789,0
10.216,0.12625,547.74,0.0035789,0
10.211,0.12625,548.61,0.0035789,0
10.206,0.12625,549.48,0.0035789,0
10.2,0.12625,550.35,0.0035789,0
10.193,0.12625,551.22,0.0035789,0
10.187,0.12625,552.09,0.0035789,0
10.182,0.12625,552.96,0.0035789,0
10.175,0.12625,553.83,0.0035789,0
10.168,0.12625,554.7,0.0035789,0
10.162,0.12625,555.57,0.0035789,0
10.156,0.12625,556.44,0.0035789,0
10.153,0.12625,557.31,0.0035789,0
10.15,0.12625,558.18,0.0035789,0
10.148,0.12625,559.05,0.0035789,0
10.144,0.12625,559.92,0.0035789,0
10.14,0.12625,560.79,0.0035789,0
10.134,0.12625,561.65,0.0035789,0
10.129,0.12625,562.52,0.0035789,0
10.125,0.12625,563.39,0.0035789,0
10.122,0.12625,564.26,0.0035789,0
10.117,0.12625,565.13,0.0035789,0
10.112,0.12625,566,0.0035789,0
10.105,0.12625,566.87,0.0035789,0
10.096,0.12625,567.74,0.0035789,0
10.089,0.12625,568.61,0.0035789,0
10.084,0.12625,569.48,0.0035789,0
10.079,0.12625,570.35,0.0035789,0
10.075,0.12625,571.22,0.0035789,0
10.071,0.12625,572.09,0.0035789,0
10.066,0.12625,572.96,0.0035789,0
10.06,0.12625,573.83,0.0035789,0
10.054,0.12625,574.7,0.0035789,0
10.048,0.12625,575.57,0.0035789,0
10.04,0.12625,576.44,0.0035789,0
10.031,0.12625,577.31,0.0035789,0
10.022,0.12625,578.18,0.0035789,0
10.011,0.12625,579.05,0.0035789,0
10.001,0.12625,579.92,0.0035789,0
9.9915,0.12625,580.79,0.0035789,0
9.9835,0.12625,581.66,0.0035789,0
9.9771,0.12625,582.53,0.0035789,0
9.972,0.12625,583.4,0.0035789,0
9.9687,0.12625,584.27,0.0035789,0
9.9651,0.12625,585.14,0.0035789,0
9.9594,0.12625,586.01,0.0035789,0
9.9519,0.12625,586.88,0.0035789,0
9.9441,0.12625,587.75,0.0035789,0
