"RUU","RUV","RUW","RVV","RVW","RWW","TKE","y_plus","Points:0","Points:1","Points:2"
0.0055938,-0.0016468,-4.8099e-06,0.0022559,-2.5001e-07,0.0032429,0.0055463,130.92,900,3.7114,0
0.0055795,-0.0016437,-5.5796e-06,0.002253,-5.9905e-07,0.0032376,0.0055351,131.86,900,3.7379,0
0.0055653,-0.0016405,-6.3494e-06,0.0022502,-9.4808e-07,0.0032322,0.0055238,132.79,900,3.7644,0
0.0055522,-0.0016374,-7.2289e-06,0.0022474,-1.2968e-06,0.003227,0.0055133,133.73,900,3.7908,0
0.0055393,-0.0016343,-8.126e-06,0.0022445,-1.6455e-06,0.0032219,0.0055029,134.66,900,3.8173,0
0.0055263,-0.0016312,-9.0231e-06,0.0022417,-1.9942e-06,0.0032168,0.0054924,135.6,900,3.8438,0
0.005513,-0.0016281,-9.9652e-06,0.0022389,-2.3226e-06,0.0032116,0.0054817,136.53,900,3.8703,0
0.0054995,-0.001625,-1.0928e-05,0.002236,-2.6415e-06,0.0032064,0.005471,137.46,900,3.8968,0
0.005486,-0.0016219,-1.1891e-05,0.0022332,-2.9604e-06,0.0032012,0.0054602,138.4,900,3.9233,0
0.0054726,-0.0016188,-1.2812e-05,0.0022304,-3.2635e-06,0.0031958,0.0054494,139.33,900,3.9498,0
0.0054592,-0.0016158,-1.368e-05,0.0022275,-3.5466e-06,0.0031903,0.0054385,140.27,900,3.9762,0
0.0054459,-0.0016127,-1.4547e-05,0.0022247,-3.8296e-06,0.0031848,0.0054277,141.2,900,4.0027,0
0.0054326,-0.0016097,-1.538e-05,0.0022218,-4.1155e-06,0.0031792,0.0054168,142.14,900,4.0292,0
0.0054203,-0.0016066,-1.5989e-05,0.0022189,-4.4202e-06,0.0031733,0.0054063,143.07,900,4.0557,0
0.005408,-0.0016036,-1.6599e-05,0.0022161,-4.7249e-06,0.0031675,0.0053958,144,900,4.0822,0
0.0053957,-0.0016006,-1.7208e-05,0.0022132,-5.0295e-06,0.0031616,0.0053852,144.94,900,4.1087,0
0.0053831,-0.0015975,-1.76e-05,0.0022102,-5.4115e-06,0.0031555,0.0053744,145.87,900,4.1351,0
0.0053704,-0.0015944,-1.7923e-05,0.0022073,-5.8175e-06,0.0031493,0.0053635,146.81,900,4.1616,0
0.0053577,-0.0015914,-1.8247e-05,0.0022043,-6.2236e-06,0.0031432,0.0053526,147.74,900,4.1881,0
0.005345,-0.0015883,-1.8518e-05,0.0022013,-6.6635e-06,0.003137,0.0053417,148.68,900,4.2146,0
0.0053325,-0.0015852,-1.8681e-05,0.0021982,-7.1727e-06,0.0031309,0.0053308,149.61,900,4.2411,0
0.0053199,-0.001582,-1.8844e-05,0.0021951,-7.682e-06,0.0031247,0.0053199,150.54,900,4.2676,0
0.0053073,-0.0015789,-1.9008e-05,0.002192,-8.1913e-06,0.0031186,0.005309,151.48,900,4.294,0
0.0052948,-0.0015758,-1.9167e-05,0.0021888,-8.7046e-06,0.0031126,0.0052981,152.41,900,4.3205,0
0.0052823,-0.0015727,-1.9325e-05,0.0021856,-9.2188e-06,0.0031067,0.0052873,153.35,900,4.347,0
0.0052698,-0.0015695,-1.9484e-05,0.0021824,-9.7331e-06,0.0031008,0.0052765,154.28,900,4.3735,0
0.0052571,-0.0015664,-1.9677e-05,0.0021791,-1.022e-05,0.0030949,0.0052656,155.22,900,4.4,0
0.0052438,-0.0015633,-1.9968e-05,0.0021758,-1.063e-05,0.0030892,0.0052544,156.15,900,4.4265,0
0.0052306,-0.0015602,-2.0259e-05,0.0021724,-1.1039e-05,0.0030835,0.0052432,157.08,900,4.453,0
0.0052173,-0.001557,-2.055e-05,0.0021691,-1.1448e-05,0.0030777,0.0052321,158.02,900,4.4794,0
0.0052041,-0.0015539,-2.0903e-05,0.0021657,-1.1753e-05,0.0030719,0.0052209,158.95,900,4.5059,0
0.0051909,-0.0015507,-2.1294e-05,0.0021623,-1.1995e-05,0.0030661,0.0052097,159.89,900,4.5324,0
0.0051777,-0.0015476,-2.1685e-05,0.0021589,-1.2237e-05,0.0030602,0.0051984,160.82,900,4.5589,0
0.0051646,-0.0015444,-2.2076e-05,0.0021554,-1.2479e-05,0.0030544,0.0051872,161.76,900,4.5854,0
0.005151,-0.0015412,-2.2332e-05,0.002152,-1.2544e-05,0.0030482,0.0051756,162.69,900,4.6119,0
0.0051375,-0.0015381,-2.2576e-05,0.0021485,-1.2593e-05,0.003042,0.005164,163.62,900,4.6383,0
0.0051239,-0.0015349,-2.2819e-05,0.002145,-1.2642e-05,0.0030358,0.0051524,164.56,900,4.6648,0
0.0051105,-0.0015317,-2.3029e-05,0.0021416,-1.2668e-05,0.0030295,0.0051408,165.49,900,4.6913,0
0.0050977,-0.0015285,-2.3031e-05,0.002138,-1.2558e-05,0.003023,0.0051294,166.43,900,4.7178,0
0.005085,-0.0015254,-2.3034e-05,0.0021345,-1.2448e-05,0.0030165,0.005118,167.36,900,4.7443,0
